x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
1.84215204170238089e+000,1.38953913094648218e-001,8.23398230887796956e-001,5.81183092162037118e-001,-1.19535241857418573e+000,-3.19858794639408028e-001,-9.12945523959333816e-001,4.47411344497642194e-001,-7.13125760263069175e-002,9.00555270057099566e-001,-2.68032206297389664e-001,5.11437293716205499e-001,-3.38838879177432606e-001,-1.42536521505583780e+000,9.39215296842673464e-001,-1.48421929438112388e-001,-3.50424563459989180e-001,1.69295565679992488e+000,-9.64755887448612182e-001,2.26776664652942994e-001,2.83600454783390354e-002,-6.51372704257661805e-001,-8.73257429746088221e-003,1.80933367236264031e+000,-1.00414206374712256e+000
-9.23129667240957019e-001,3.32760074827300301e-001,-5.74484401340585205e-001,2.06781466218143972e-001,6.62080232937737989e-001,1.22853920082510726e-001,-7.66021580778470934e-002,-6.49713991941891056e-001,-1.21633563459296212e+000,-6.46170873383049571e-001,-2.71774394150128717e-001,4.50748720624876587e-001,-3.49281767076651262e-001,4.67285443333715911e-002,1.78782373756879664e-001,-4.60132708912027732e-001,1.06469976741939765e+000,1.61013158305235438e-001,1.38217442473957886e+000,-4.04597666334066908e-001,-1.96105974195318167e-001,1.03825274195598238e+000,5.59658069000151137e-001,8.78219522448030698e-001,-3.81067905836520726e-001
-6.89887902563328659e-002,-2.92541777398689806e-001,-4.60941091532818259e-001,3.51672582360430752e-001,3.53669600579791243e-001,1.93449405459628743e-001,-5.22185608120185663e-001,2.26776276742777672e-001,5.62427466013106780e-001,-1.25946261306313811e-001,7.91353412317738147e-001,-1.41371200024359656e+000,1.99741552895920549e+000,1.03015362483553630e+000,1.48880257695873564e+000,1.20366638634347289e+000,4.75303176707326802e-001,7.68407727605804336e-001,2.56146604413957535e-001,8.01075261130358207e-001,-3.67228616023845600e-001,-1.19614712896234443e+000,-1.75774074720001128e+000,-2.94924926887430328e-001,-5.34291669527774182e-001
-2.05077443906453993e-003,7.86682695620622319e-001,1.94936460665756339e+000,-3.61676901148912933e-002,1.24760555874230294e+000,-1.07889920929509286e+000,1.64109283723189003e+000,-1.61983359833210216e+000,2.43925190873574893e-001,4.85159045651581522e-001,-7.32438317258112370e-001,2.76017202596722466e-001,7.94672758632043674e-001,1.75672677132384503e+000,-2.69130715250796460e-001,-9.28146016340068769e-001,8.27110227201831361e-001,-8.95328994615109508e-001,-1.24102268763210599e+000,1.09968108023774880e+000,-1.65735953539421077e+000,-9.66537434657421812e-002,6.04199899023543541e-001,-6.88455872773580113e-001,1.99005264848838537e+000
8.67712896787280474e-001,-2.89921766390944580e-001,1.26131706326588078e+000,-4.22080487037383101e-001,1.96044355006459892e-001,1.60116927251028107e+000,-8.74948881720201577e-001,-1.34080444246924113e-001,-5.95943890194886361e-001,7.21312577955570244e-001,-1.36058943521791931e+000,1.00972638225131917e-001,1.22021218635139861e+000,-1.76115582781457358e+000,-1.64751429864633536e-001,1.15504225020484963e-001,-3.56052192560369907e-001,1.86350479087246335e-001,-1.25189390422643299e+000,1.80737198766125529e+000,-2.51410614943358723e+000,7.65338316925916029e-001,-1.03842929772192871e+000,3.57608132895134823e-001,1.72797562696604956e-001
-9.04654099195760786e-001,-4.29613652277258673e-001,1.18352704394571062e+000,-6.77026692436049959e-001,-6.32240218280216926e-001,5.29625931656583226e-001,1.33003932595286756e+000,-6.27166999224593624e-001,-6.70815189466302364e-001,-7.57928074067653057e-002,-7.50878212605500028e-001,2.44074731767109476e-001,8.06339768942325730e-001,-3.65220871456338081e-001,4.05546846206729317e-001,-9.58099793653724330e-001,-1.89650744138960992e-001,-1.55231652360359718e+000,-3.85604396702487584e-001,3.27977363320179460e-001,-1.08493121620479194e-001,-1.59393840032546463e+000,-2.59689702743127526e-001,1.85926866920130607e+000,9.94585712451007797e-001
-6.89657361088860554e-001,-1.11026798399201598e+000,2.19976796260021645e-001,4.60402421504511938e-001,-5.85864000532590801e-001,-7.40958880529053676e-001,3.61887510988302408e-001,5.52285184277954144e-001,1.62617862944955038e+000,-8.88000643579772486e-001,-6.48547328447172333e-001,-3.20686072046489024e-001,-8.62911872505864430e-001,-2.44580763584935745e-001,-1.19225693295823554e-001,-2.32252598534199750e+000,4.46246161809887187e-001,2.16460517699772348e+000,2.73550180733475701e-001,8.33353786066304281e-003,-8.36857626756164041e-001,-2.13095339619729351e+000,-1.80901195332781928e-001,1.73725241395731511e+000,-1.63520761093589173e+000
-3.72844632608359428e-001,-5.08736502960539294e-001,-1.84474198629193342e-001,-6.04582142108657017e-001,1.51986262500752445e+000,2.04341250857745038e+000,5.32485807119211785e-001,7.15936692963718535e-001,6.12103868695705877e-001,2.46433294552594306e+000,2.92094624017678495e-001,5.64593138622898394e-001,3.78955130337108592e-001,6.87634008355781479e-001,1.32798183519883173e+000,-3.16034572427706051e-001,-1.12833537260534977e+000,-1.85904159806213887e-001,-1.78180668023969924e-001,8.68430951728039080e-001,1.91137400473642138e-002,-2.64985958801672705e+000,4.28341821904427267e-001,4.05647657101339654e-001,6.83301153757684965e-001
-1.09580407341401553e+000,1.43550298843175383e-001,1.07369849866498512e+000,-7.96112795277852836e-001,-1.16183614297606486e-001,-4.53551605603685903e-001,2.76237009324639660e+000,1.22970661905877754e+000,3.38921666464625293e-001,3.54064822024480463e+000,-8.12096815904228997e-001,1.39492350935514686e+000,-9.49514000282543069e-001,1.05668849449477054e+000,-3.04476692101836921e-001,-2.44434158790873823e-002,6.33412625783084327e-001,-2.21442068872230724e-001,-8.95728467495401137e-001,-4.96563846169883583e-001,1.34296947237879105e+000,9.68241161112351367e-001,7.21797011856379900e-001,6.64999047632769180e-001,-1.04810155843034614e+000
-1.55708500152770979e+000,9.62791514414524929e-001,1.15956758356636769e-002,-3.80865422515523910e-001,4.60539607038663146e-001,5.21186025732642610e-001,-6.65965143902831347e-001,3.55472678071523607e-001,-5.80369881495420792e-001,-6.36846899086099594e-001,-1.45692173071774977e+000,-3.90476775612873084e-001,-6.96363747312834125e-001,-1.17903639301298235e+000,-9.51331242300488267e-001,4.47560400322198682e-001,-1.03570888885502876e+000,5.59575197092096577e-001,-1.54575308285530943e+000,-1.16710227826887714e+000,-6.67551999736981205e-001,3.43421187806502992e-002,-1.29621130637740078e+000,1.59605751860550193e+000,2.44246434791006273e-001
